"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","MWE_RS_009 - Create Follow On From Task: Create Follow On From Task","44","0","","0"
"0","","0","MWE_RS_034 - Complete a PM Work Order With Tasks: Complete a PM Work Order With Tasks","33","0","","0"
"0","","1","MWE_RS_007 - Create Follow On Work Order Found It Fixed It: Create Follow On Work Order Found It Fixed It","42","0","","0"
"0","","0","MWE_RS_011 - Complete an assigned Task: Complete an assigned Task on Work Order","32","0","","0"
"0","","0","MWE_RS_012 - Change Location on Work Order: Change Location on Work Order","29","0","","0"
"0","","0","MWE_RS_031 - Bookmark Work Order on mobile: Bookmark Work Order on mobile","27","0","","0"
"0","","0","MWE_RS_033 - Long Description is Displayed on a Task: Long Description is Displayed on a Task","29","0","","0"
"0","","0","MWE_RS_035 - Hide Task Completed on Work Order: Hide Task Completed on Work Order","33","0","","0"
"0","","0","MWE_RS_024 - User level Notifications: User level Notifications","24","0","","0"
"0","","0","MWE_RS_025 - Teams View for active users on Work Order: Teams View for Active Users on Work Order","25","0","","0"
"0","","0","MWE_RS_017 - Add Manual Time Entry: Add Manual Time Entry","32","0","","0"
"0","","0","MWE_RS_044 - Product Owner replace the task modal with a task page: Product Owner replace the task modal with a task page","29","0","","0"
"0","","0","MWE_RS_040 - Task Location in Task Details Page: Task Location in Task Details Page","28","0","","0"
"0","","0","MWE_RS_032 - Complete a CM Work Order with Task Assigned: Complete a CM Work Order with Task Assigned","48","0","","0"
"0","","0","MWE_RS_026 - Sort By Filter in My Work List: Sort My Work List By Filter","21","0","","0"
"0","","0","MWE_RS_027- View Application Details: Version, Environment and Licenses","22","0","","0"
"0","","0","MWE_RS_042 - Measurement point description is needed to show up on task: Measurement point description is needed to show up on task","28","0","","0"
"0","","0","MWE_RS_045 - User taps input field keyboard is displayed, content is pushed up over input fields: User taps input field keyboard is displayed, content is pushed up over input fields","39","0","","0"
"0","","0","MWE_RS_013 - Add Failure Information to the current Work Order: Add Failure Information to the current Work Order","34","0","","0"
"0","","0","MWE_RS_008 - Create Follow On Work Order Assign to me: Create Follow On Work Order Assign to me","43","0","","0"
"0","","0","MWE_RS_050  - After refreshing environment synchronization screen appears: After refreshing environment synchronization screen appears","16","0","","0"
"0","","0","MWE_RS_046 - No files attached is shown in the Files tab when there are no files attached: No files attached is shown in the Files tab when there are no files attached","25","0","","0"
"0","","0","MWE_RS_001 - Login and Logout from the Application: As a user, I can log into the secure area","17","0","","0"
"0","","0","MWE_RS_023 - Clear Local Data of application: Clear Local Data of application","20","0","","0"
"0","","0","MWE_RS_006 - Create Follow On Work Order Add To Backlog: Create Follow On Work Order Add To Backlog","48","0","","0"
"0","","28","","0","0","","0"
"0","","0","MWE_RS_039 - Task Comment in the application exceeds character limit in Maximo: Task Comment in the application exceeds character limit in Maximo","31","0","","0"
"0","","0","MWE_RS_029 - Child Work Order: Child Work Order","28","0","","0"
"0","","0","MWE_RS_048 - Expand or collapse long photo description in the Files tab: Expand or collapse long photo description","20","0","","0"
