"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1744","When I click on ""Reject"" button","","Mon Feb 02 13:35:42 GMT 2026","passed","Mon Feb 02 13:35:43 GMT 2026","","MWE_RS_029 - Child Work Order: Child Work Order","",""
"","926","Then WO page is ""Shown""","","Mon Feb 02 13:03:55 GMT 2026","passed","Mon Feb 02 13:03:56 GMT 2026","","MWE_RS_021 - Asset Swap: Asset Swap","",""
"","2779","And I click on ""Sign In"" button","","Wed Feb 04 10:25:41 GMT 2026","passed","Wed Feb 04 10:25:44 GMT 2026","","MWE_RS_050  - After refreshing environment synchronization screen appears: After refreshing environment synchronization screen appears","",""
"","1967","Then I click on ""PAUSE"" button","","Fri Jan 30 11:03:51 GMT 2026","passed","Fri Jan 30 11:03:53 GMT 2026","","MWE_RS_022 - Check out Materials and make Reservations: Checkout Materials and make Reservations","",""
"","1702","When I click on ""Reject"" button","","Mon Feb 02 11:53:36 GMT 2026","passed","Mon Feb 02 11:53:37 GMT 2026","","MWE_RS_038 - Route Stop WO Descriptions are displayed alongside Route Stop ID as part of the task grouping heading: Route Stop WO Descriptions are displayed alongside Route Stop ID as part of the task grouping heading","",""
"","2593","Then I click on ""PAUSE ICON"" button","","Thu Jan 29 20:15:46 GMT 2026","passed","Thu Jan 29 20:15:49 GMT 2026","","MWE_RS_013 - Add Failure Information to the current Work Order: Add Failure Information to the current Work Order","",""
"","263","Then I take a screenshot","","Thu Jan 29 18:52:35 GMT 2026","passed","Thu Jan 29 18:52:35 GMT 2026","","MWE_RS_010 - Fail an assigned Task: Fail an assigned Task on Work Order","",""
"","1330","Then I click on ""REMEDY CLASS"" option","","Thu Jan 29 21:44:26 GMT 2026","passed","Thu Jan 29 21:44:28 GMT 2026","","MWE_RS_032 - Complete a CM Work Order with Task Assigned: Complete a CM Work Order with Task Assigned","",""
"","2706","Then I click on ""START WORK"" button","","Wed Feb 04 11:54:09 GMT 2026","passed","Wed Feb 04 11:54:12 GMT 2026","","MWE_RS_006 - Create Follow On Work Order Add To Backlog: Create Follow On Work Order Add To Backlog","",""
"","2022","Then I click on ""TYPE FIELD"" button","","Thu Jan 29 12:36:22 GMT 2026","passed","Thu Jan 29 12:36:24 GMT 2026","","MWE_RS_003 - Add Comment: Add Comment to Work Order","",""
"","2771","And I click on ""Sign In"" button","","Thu Jan 29 12:05:21 GMT 2026","passed","Thu Jan 29 12:05:24 GMT 2026","","MWE_RS_002 - Start and Pause Work Order: Start and Pause Work Order","",""
"","984","Then I select ""End Time"" date field","","Thu Jan 29 17:48:20 GMT 2026","passed","Thu Jan 29 17:48:21 GMT 2026","","MWE_RS_017 - Add Manual Time Entry: Add Manual Time Entry","",""
"","3106","Then I click on ""SELECT A TEMPLATE "" button","","Wed Feb 04 11:54:49 GMT 2026","passed","Wed Feb 04 11:54:52 GMT 2026","","MWE_RS_006 - Create Follow On Work Order Add To Backlog: Create Follow On Work Order Add To Backlog","",""
"","1251","When I press ""TASKS"" widget","","Thu Jan 29 18:50:11 GMT 2026","passed","Thu Jan 29 18:50:13 GMT 2026","","MWE_RS_010 - Fail an assigned Task: Fail an assigned Task on Work Order","",""
"","1081","Then I navigate ""Work"" tab","","Thu Jan 29 18:50:10 GMT 2026","passed","Thu Jan 29 18:50:11 GMT 2026","","MWE_RS_010 - Fail an assigned Task: Fail an assigned Task on Work Order","",""
"","899","Then I click on ""PROBLEM CLASS"" option","","Thu Jan 29 21:54:59 GMT 2026","passed","Thu Jan 29 21:55:00 GMT 2026","","MWE_RS_036 - Complete a CM Work Order: Complete a CM Work Order","",""
"","1699","Then I click on ""REST APPLICATION"" button","","Wed Feb 04 11:45:14 GMT 2026","passed","Wed Feb 04 11:45:15 GMT 2026","","MWE_RS_055 - Reset Application: Reset Application","",""
"","454","Given I am on the Init page","","Wed Jan 28 17:11:57 GMT 2026","passed","Wed Jan 28 17:11:58 GMT 2026","","MWE_RS_027- View Application Details: Version, Environment and Licenses","",""
"","992","When I click at ""first"" WO","","Wed Feb 04 14:48:07 GMT 2026","passed","Wed Feb 04 14:48:08 GMT 2026","","MWE_RS_056 - Attach a Document to assigned Work Order and verify in Files tab: Attach a Document to assigned Work Order and verify in Files tab","",""
"","2233","Then I click on ""COMPLETE WORK ORDER"" button","","Thu Jan 29 21:56:21 GMT 2026","passed","Thu Jan 29 21:56:23 GMT 2026","","MWE_RS_036 - Complete a CM Work Order: Complete a CM Work Order","",""
"","794","Then I ""CONFIRM"" asset swap","","Mon Feb 02 13:06:00 GMT 2026","passed","Mon Feb 02 13:06:01 GMT 2026","","MWE_RS_021 - Asset Swap: Asset Swap","",""
"","273","Then I take a screenshot","","Thu Jan 29 20:16:25 GMT 2026","passed","Thu Jan 29 20:16:25 GMT 2026","","MWE_RS_013 - Add Failure Information to the current Work Order: Add Failure Information to the current Work Order","",""
